id,collector,location,timestamp,gender,age_group,occupation,venue_preference,price_influence,satisfaction,amenities_importance,service_quality,value_for_money,visit_frequency,annual_spending,recommendation_score
2648,Surveyor E,Public Golf Course D,2023-10-28 06:07:00,Male,26-35 years old,Sales Person,"Member club,Public course,Resort course",4,3,2,3,5,Once a week,32256,9
2649,Surveyor D,Resort Golf Course E,2023-10-28 06:08:00,Female,36-45 years old,Engineer,"Public course,Member club",5,4,3,5,5,Several times per year,15455,1
2650,Surveyor B,Member Golf Club C,2023-10-28 06:09:00,Male,26-35 years old,Technical Professional,Public course,5,1,3,4,5,Once a month,16194,8
2651,Surveyor A,Public Golf Course D,2023-10-28 06:10:00,Male,65+ years old,Sales Person,"Resort course,Practice course",1,1,1,4,2,Once a month,26622,10
2652,Surveyor A,Practice Course B,2023-10-28 06:11:00,Male,18-25 years old,Freelancer,"Practice course,Public course,Member club",2,3,2,2,4,2-3 times per month,31988,10
2653,Surveyor E,Resort Golf Course E,2023-10-28 06:12:00,Male,65+ years old,Technical Professional,"Public course,Member club",2,4,2,1,1,Once a quarter,12570,9
2654,Surveyor B,Public Golf Course D,2023-10-28 06:13:00,Male,18-25 years old,Lawyer,"Public course,Practice course,Member club",4,1,1,1,4,Once a week,26487,9
2655,Surveyor B,Member Golf Club C,2023-10-28 06:14:00,Male,46-55 years old,Retiree,"Resort course,Practice course",4,2,4,5,5,Once a quarter,5617,10
2656,Surveyor B,Public Golf Course D,2023-10-28 06:15:00,Female,46-55 years old,Engineer,"Member club,Resort course,Practice course",4,1,1,5,4,2-3 times per month,46277,7
2657,Surveyor E,Practice Course B,2023-10-28 06:16:00,Male,36-45 years old,Retiree,Public course,2,4,2,4,5,2-3 times per month,11285,10
2658,Surveyor E,Practice Course A,2023-10-28 06:17:00,Male,46-55 years old,Freelancer,Resort course,3,5,4,1,4,2-3 times per month,38224,3
2659,Surveyor C,Public Golf Course D,2023-10-28 06:18:00,Female,36-45 years old,Teacher,Resort course,5,5,3,1,3,Once a week,5500,5
2660,Surveyor C,Member Golf Club C,2023-10-28 06:19:00,Female,36-45 years old,Freelancer,Public course,3,3,1,1,4,Once a quarter,33994,2
2661,Surveyor C,Practice Course B,2023-10-28 06:20:00,Male,56-65 years old,Doctor,"Public course,Practice course,Member club",3,4,4,2,1,2-3 times per month,41642,10
2662,Surveyor D,Practice Course A,2023-10-28 06:21:00,Female,56-65 years old,Lawyer,"Member club,Practice course",2,1,4,2,1,Once a month,28014,3
2663,Surveyor A,Public Golf Course D,2023-10-28 06:22:00,Male,56-65 years old,Sales Person,Resort course,3,1,4,5,4,Once a quarter,9973,10
2664,Surveyor C,Practice Course A,2023-10-28 06:23:00,Female,56-65 years old,Civil Servant,Practice course,1,5,1,4,4,Once a quarter,9774,7
2665,Surveyor D,Public Golf Course D,2023-10-28 06:24:00,Female,18-25 years old,Business Executive,"Practice course,Public course",4,5,3,3,2,2-3 times per month,20519,1
2666,Surveyor D,Public Golf Course D,2023-10-28 06:25:00,Male,26-35 years old,Civil Servant,"Member club,Practice course",1,2,4,4,4,Once a month,25580,3
2667,Surveyor E,Resort Golf Course E,2023-10-28 06:26:00,Female,65+ years old,Engineer,"Public course,Practice course,Resort course",5,5,1,2,1,Once a quarter,28099,5
2668,Surveyor B,Practice Course A,2023-10-28 06:27:00,Male,18-25 years old,Engineer,Resort course,4,2,2,2,3,Once a quarter,42484,4
2669,Surveyor B,Practice Course A,2023-10-28 06:28:00,Female,36-45 years old,Lawyer,"Resort course,Practice course,Member club",3,1,1,5,1,Once a month,47588,3
2670,Surveyor C,Practice Course B,2023-10-28 06:29:00,Female,26-35 years old,Engineer,Practice course,5,2,1,3,2,Once a quarter,18302,6
2671,Surveyor A,Public Golf Course D,2023-10-28 06:30:00,Female,56-65 years old,Freelancer,"Practice course,Resort course",4,2,1,1,4,Several times per year,8234,6
2672,Surveyor A,Public Golf Course D,2023-10-28 06:31:00,Female,65+ years old,Engineer,"Member club,Resort course,Practice course",3,3,4,3,3,Once a month,11494,4
2673,Surveyor A,Resort Golf Course E,2023-10-28 06:32:00,Female,56-65 years old,Civil Servant,Practice course,1,5,1,3,1,2-3 times per month,19239,9
2674,Surveyor D,Practice Course A,2023-10-28 06:33:00,Male,56-65 years old,Retiree,"Resort course,Member club",4,2,2,3,3,Several times per year,9498,6
2675,Surveyor D,Practice Course B,2023-10-28 06:34:00,Male,26-35 years old,Lawyer,"Public course,Member club,Practice course",3,1,4,5,5,Several times per year,49198,9
2676,Surveyor D,Practice Course A,2023-10-28 06:35:00,Female,36-45 years old,Retiree,"Resort course,Member club,Practice course",1,4,2,2,1,Once a month,10267,10
2677,Surveyor E,Member Golf Club C,2023-10-28 06:36:00,Male,36-45 years old,Technical Professional,Practice course,5,2,5,1,5,Once a week,17546,10
2678,Surveyor D,Practice Course B,2023-10-28 06:37:00,Female,65+ years old,Civil Servant,"Public course,Resort course",5,5,1,3,3,Once a week,29479,2
2679,Surveyor A,Member Golf Club C,2023-10-28 06:38:00,Female,26-35 years old,Lawyer,"Practice course,Member club",5,3,4,1,4,Once a month,41437,6
2680,Surveyor A,Practice Course B,2023-10-28 06:39:00,Female,46-55 years old,Sales Person,"Public course,Member club",5,1,4,3,4,Once a week,14657,4
2681,Surveyor B,Resort Golf Course E,2023-10-28 06:40:00,Female,56-65 years old,Teacher,"Practice course,Member club,Public course",2,3,1,2,4,Once a week,27453,2
2682,Surveyor A,Public Golf Course D,2023-10-28 06:41:00,Male,65+ years old,Doctor,"Member club,Public course",4,4,3,1,5,2-3 times per month,39729,5
2683,Surveyor D,Practice Course A,2023-10-28 06:42:00,Female,18-25 years old,Retiree,"Public course,Practice course,Member club",4,2,3,4,4,2-3 times per month,22259,3
2684,Surveyor D,Practice Course B,2023-10-28 06:43:00,Male,65+ years old,Freelancer,Member club,2,2,2,2,2,Once a quarter,33645,6
2685,Surveyor C,Public Golf Course D,2023-10-28 06:44:00,Male,65+ years old,Retiree,Public course,3,5,1,1,1,2-3 times per month,17093,8
2686,Surveyor E,Public Golf Course D,2023-10-28 06:45:00,Female,36-45 years old,Retiree,Practice course,3,2,1,3,1,Once a week,13734,4
2687,Surveyor A,Member Golf Club C,2023-10-28 06:46:00,Male,18-25 years old,Civil Servant,"Practice course,Member club,Resort course",5,1,5,3,3,2-3 times per month,8516,4
2688,Surveyor E,Resort Golf Course E,2023-10-28 06:47:00,Female,36-45 years old,Lawyer,Member club,1,4,3,2,5,2-3 times per month,20032,5
2689,Surveyor A,Resort Golf Course E,2023-10-28 06:48:00,Female,65+ years old,Lawyer,"Resort course,Member club",3,3,3,2,1,Once a month,25883,6
2690,Surveyor B,Member Golf Club C,2023-10-28 06:49:00,Male,65+ years old,Teacher,Public course,1,4,1,3,5,Several times per year,30594,7
2691,Surveyor B,Public Golf Course D,2023-10-28 06:50:00,Male,18-25 years old,Retiree,"Member club,Public course,Resort course",4,2,2,1,3,2-3 times per month,45001,6
2692,Surveyor E,Member Golf Club C,2023-10-28 06:51:00,Female,36-45 years old,Doctor,"Resort course,Public course",1,3,1,4,4,Once a quarter,31004,7
2693,Surveyor D,Public Golf Course D,2023-10-28 06:52:00,Male,26-35 years old,Engineer,"Member club,Resort course,Public course",4,5,2,5,3,Once a month,18170,9
2694,Surveyor C,Resort Golf Course E,2023-10-28 06:53:00,Male,26-35 years old,Business Executive,"Practice course,Resort course",2,4,3,2,2,Once a quarter,43715,4
2695,Surveyor A,Public Golf Course D,2023-10-28 06:54:00,Female,26-35 years old,Sales Person,"Member club,Public course",2,3,5,3,4,2-3 times per month,21958,10
2696,Surveyor A,Public Golf Course D,2023-10-28 06:55:00,Male,26-35 years old,Doctor,Member club,5,3,4,1,4,Once a month,22842,1
2697,Surveyor C,Resort Golf Course E,2023-10-28 06:56:00,Male,36-45 years old,Civil Servant,"Public course,Resort course",3,3,3,2,4,2-3 times per month,45163,9
2698,Surveyor E,Member Golf Club C,2023-10-28 06:57:00,Male,26-35 years old,Retiree,"Practice course,Member club",5,1,2,1,3,2-3 times per month,31075,7
2699,Surveyor E,Practice Course B,2023-10-28 06:58:00,Female,56-65 years old,Retiree,"Public course,Practice course",4,4,1,2,2,Once a month,31067,4
2700,Surveyor A,Public Golf Course D,2023-10-28 06:59:00,Female,36-45 years old,Business Executive,Practice course,5,3,3,3,5,Once a quarter,8172,10
2701,Surveyor B,Practice Course A,2023-10-28 07:00:00,Male,56-65 years old,Sales Person,"Public course,Practice course",1,4,5,1,3,Once a week,41195,8
2702,Surveyor C,Practice Course A,2023-10-28 07:01:00,Male,36-45 years old,Doctor,"Public course,Practice course,Resort course",4,3,2,3,1,Once a week,45566,7
2703,Surveyor A,Member Golf Club C,2023-10-28 07:02:00,Female,65+ years old,Sales Person,"Resort course,Member club,Practice course",2,5,1,1,1,Several times per year,12736,2
2704,Surveyor B,Public Golf Course D,2023-10-28 07:03:00,Male,18-25 years old,Civil Servant,Resort course,3,5,4,2,3,Several times per year,36268,1
2705,Surveyor E,Public Golf Course D,2023-10-28 07:04:00,Male,46-55 years old,Retiree,Practice course,4,5,2,5,5,2-3 times per month,48475,9
2706,Surveyor B,Practice Course B,2023-10-28 07:05:00,Female,65+ years old,Engineer,"Public course,Member club",4,2,1,5,1,Once a week,49511,7
2707,Surveyor D,Practice Course B,2023-10-28 07:06:00,Male,26-35 years old,Engineer,Public course,1,3,4,4,5,2-3 times per month,9206,10
2708,Surveyor A,Practice Course A,2023-10-28 07:07:00,Female,26-35 years old,Retiree,Practice course,3,2,1,4,4,Several times per year,24348,1
2709,Surveyor C,Practice Course A,2023-10-28 07:08:00,Male,18-25 years old,Doctor,Member club,2,4,4,3,3,Once a week,41081,4
2710,Surveyor B,Practice Course A,2023-10-28 07:09:00,Male,18-25 years old,Technical Professional,"Public course,Resort course,Practice course",4,2,4,1,4,Once a quarter,46641,5
2711,Surveyor E,Practice Course A,2023-10-28 07:10:00,Female,18-25 years old,Sales Person,"Public course,Member club,Resort course",4,4,4,4,1,Several times per year,29854,5
2712,Surveyor B,Public Golf Course D,2023-10-28 07:11:00,Female,65+ years old,Retiree,"Member club,Practice course",1,4,1,2,5,Once a month,42226,5
2713,Surveyor E,Practice Course A,2023-10-28 07:12:00,Female,56-65 years old,Retiree,"Member club,Public course",5,4,4,5,4,Several times per year,23032,3
2714,Surveyor D,Practice Course B,2023-10-28 07:13:00,Female,46-55 years old,Engineer,"Practice course,Public course",2,2,2,1,1,Once a quarter,34272,5
2715,Surveyor E,Public Golf Course D,2023-10-28 07:14:00,Female,56-65 years old,Sales Person,"Resort course,Member club",3,3,5,5,2,2-3 times per month,47118,4
2716,Surveyor C,Resort Golf Course E,2023-10-28 07:15:00,Female,46-55 years old,Business Executive,"Resort course,Member club",4,2,5,1,4,Once a week,45952,5
2717,Surveyor D,Member Golf Club C,2023-10-28 07:16:00,Female,65+ years old,Freelancer,Resort course,4,3,4,4,2,Several times per year,40109,7
2718,Surveyor B,Practice Course B,2023-10-28 07:17:00,Male,18-25 years old,Business Executive,"Member club,Resort course,Public course",2,3,5,4,2,Once a month,39606,5
2719,Surveyor A,Member Golf Club C,2023-10-28 07:18:00,Male,56-65 years old,Freelancer,"Resort course,Public course,Practice course",5,4,5,3,1,2-3 times per month,10538,8
2720,Surveyor E,Resort Golf Course E,2023-10-28 07:19:00,Male,18-25 years old,Retiree,"Member club,Resort course",4,2,4,1,3,Once a week,49237,8
2721,Surveyor C,Resort Golf Course E,2023-10-28 07:20:00,Male,56-65 years old,Sales Person,"Resort course,Public course",2,3,4,2,5,Once a week,14533,3
2722,Surveyor A,Practice Course A,2023-10-28 07:21:00,Male,26-35 years old,Doctor,Member club,1,5,2,4,1,Once a week,35792,5
2723,Surveyor A,Practice Course A,2023-10-28 07:22:00,Female,26-35 years old,Sales Person,Member club,5,3,3,3,4,2-3 times per month,10477,4
2724,Surveyor D,Resort Golf Course E,2023-10-28 07:23:00,Male,56-65 years old,Doctor,Member club,3,5,1,4,5,Several times per year,14363,5
2725,Surveyor B,Public Golf Course D,2023-10-28 07:24:00,Female,18-25 years old,Freelancer,Practice course,4,2,4,5,3,Once a week,17264,8
2726,Surveyor A,Public Golf Course D,2023-10-28 07:25:00,Male,65+ years old,Lawyer,Practice course,2,2,4,4,1,Once a quarter,16819,4
2727,Surveyor C,Practice Course B,2023-10-28 07:26:00,Male,65+ years old,Retiree,"Resort course,Member club",1,2,5,1,3,Once a quarter,17191,5
2728,Surveyor E,Member Golf Club C,2023-10-28 07:27:00,Female,26-35 years old,Retiree,Member club,3,3,2,3,4,Several times per year,11499,7
2729,Surveyor E,Public Golf Course D,2023-10-28 07:28:00,Female,46-55 years old,Doctor,"Public course,Practice course",2,1,5,1,1,Once a week,49847,3
2730,Surveyor E,Public Golf Course D,2023-10-28 07:29:00,Female,26-35 years old,Engineer,"Public course,Member club",2,3,4,2,4,2-3 times per month,22668,6
2731,Surveyor D,Resort Golf Course E,2023-10-28 07:30:00,Female,26-35 years old,Doctor,Member club,3,3,4,2,5,Once a quarter,13762,9
2732,Surveyor C,Member Golf Club C,2023-10-28 07:31:00,Male,46-55 years old,Technical Professional,"Public course,Member club,Resort course",1,4,5,4,5,Once a quarter,36292,4
2733,Surveyor A,Resort Golf Course E,2023-10-28 07:32:00,Male,65+ years old,Freelancer,"Resort course,Member club",1,4,4,3,3,Once a quarter,24248,4
2734,Surveyor C,Member Golf Club C,2023-10-28 07:33:00,Male,36-45 years old,Teacher,Public course,5,3,3,3,3,Once a quarter,43813,6
2735,Surveyor D,Resort Golf Course E,2023-10-28 07:34:00,Male,26-35 years old,Retiree,Member club,4,5,1,3,5,2-3 times per month,49944,6
2736,Surveyor D,Resort Golf Course E,2023-10-28 07:35:00,Male,18-25 years old,Freelancer,"Member club,Resort course,Practice course",3,4,1,3,2,Once a quarter,16333,3
2737,Surveyor B,Practice Course A,2023-10-28 07:36:00,Male,46-55 years old,Doctor,"Resort course,Practice course",3,3,1,4,5,Several times per year,35652,1
2738,Surveyor C,Practice Course A,2023-10-28 07:37:00,Male,18-25 years old,Technical Professional,"Public course,Practice course,Member club",3,1,3,1,1,Once a month,46406,3
2739,Surveyor E,Public Golf Course D,2023-10-28 07:38:00,Male,65+ years old,Engineer,Resort course,1,5,4,4,4,Once a quarter,18070,8
2740,Surveyor D,Practice Course A,2023-10-28 07:39:00,Male,18-25 years old,Sales Person,Practice course,4,2,5,1,5,2-3 times per month,30856,8
2741,Surveyor D,Public Golf Course D,2023-10-28 07:40:00,Female,18-25 years old,Teacher,Resort course,5,3,2,5,5,Several times per year,36628,6
2742,Surveyor B,Public Golf Course D,2023-10-28 07:41:00,Male,56-65 years old,Doctor,"Practice course,Resort course",2,3,4,5,4,Once a week,42807,7
2743,Surveyor E,Member Golf Club C,2023-10-28 07:42:00,Female,56-65 years old,Sales Person,"Practice course,Member club",2,5,3,1,4,2-3 times per month,28423,2
2744,Surveyor D,Public Golf Course D,2023-10-28 07:43:00,Male,46-55 years old,Freelancer,Public course,3,4,3,4,1,2-3 times per month,30212,9
2745,Surveyor A,Public Golf Course D,2023-10-28 07:44:00,Male,36-45 years old,Lawyer,Member club,4,4,1,2,4,Once a quarter,40741,3
2746,Surveyor E,Public Golf Course D,2023-10-28 07:45:00,Male,46-55 years old,Teacher,"Member club,Resort course",1,4,4,4,3,Once a month,9626,2
2747,Surveyor C,Practice Course A,2023-10-28 07:46:00,Female,18-25 years old,Engineer,"Resort course,Public course,Practice course",4,2,1,2,5,Several times per year,45767,5
2748,Surveyor B,Practice Course A,2023-10-28 07:47:00,Female,46-55 years old,Retiree,Resort course,4,5,2,4,4,Several times per year,7292,1
2749,Surveyor A,Practice Course B,2023-10-28 07:48:00,Female,56-65 years old,Freelancer,Resort course,1,5,1,3,1,Once a month,19859,5
2750,Surveyor A,Resort Golf Course E,2023-10-28 07:49:00,Female,46-55 years old,Freelancer,Practice course,3,4,2,3,4,Once a month,35585,10
2751,Surveyor C,Member Golf Club C,2023-10-28 07:50:00,Female,56-65 years old,Technical Professional,"Public course,Resort course",4,4,3,5,5,Once a week,21807,4
2752,Surveyor B,Practice Course B,2023-10-28 07:51:00,Male,65+ years old,Engineer,Public course,2,1,1,5,2,2-3 times per month,8819,6
2753,Surveyor D,Public Golf Course D,2023-10-28 07:52:00,Male,56-65 years old,Doctor,"Public course,Practice course,Resort course",1,1,1,1,4,2-3 times per month,29087,5
2754,Surveyor B,Public Golf Course D,2023-10-28 07:53:00,Female,18-25 years old,Retiree,"Resort course,Practice course",5,3,5,2,3,Once a quarter,6280,9
2755,Surveyor D,Practice Course B,2023-10-28 07:54:00,Female,18-25 years old,Freelancer,"Public course,Member club,Resort course",3,3,3,3,5,Several times per year,18241,5
2756,Surveyor C,Member Golf Club C,2023-10-28 07:55:00,Female,26-35 years old,Business Executive,"Member club,Practice course,Resort course",1,5,5,4,1,Once a week,47779,8
2757,Surveyor C,Public Golf Course D,2023-10-28 07:56:00,Female,26-35 years old,Doctor,Resort course,5,5,2,1,5,2-3 times per month,19147,2
2758,Surveyor A,Public Golf Course D,2023-10-28 07:57:00,Female,18-25 years old,Doctor,Public course,5,2,2,4,2,Several times per year,24816,3
2759,Surveyor A,Practice Course A,2023-10-28 07:58:00,Female,18-25 years old,Lawyer,"Resort course,Public course",4,2,3,3,1,Once a month,6629,3
2760,Surveyor A,Resort Golf Course E,2023-10-28 07:59:00,Female,56-65 years old,Business Executive,"Public course,Resort course,Practice course",4,1,2,3,2,Once a week,43267,3
2761,Surveyor C,Public Golf Course D,2023-10-28 08:00:00,Male,18-25 years old,Retiree,"Practice course,Member club,Public course",4,3,3,3,2,2-3 times per month,13634,6
2762,Surveyor D,Resort Golf Course E,2023-10-28 08:01:00,Male,36-45 years old,Civil Servant,"Resort course,Member club",1,1,2,3,3,Once a quarter,8014,7
2763,Surveyor C,Resort Golf Course E,2023-10-28 08:02:00,Male,46-55 years old,Freelancer,"Member club,Resort course,Public course",1,1,4,4,4,Once a month,15773,7
2764,Surveyor C,Resort Golf Course E,2023-10-28 08:03:00,Female,18-25 years old,Engineer,Member club,3,3,1,1,3,2-3 times per month,22881,7
2765,Surveyor A,Public Golf Course D,2023-10-28 08:04:00,Male,56-65 years old,Business Executive,"Public course,Member club",4,2,4,3,3,Once a month,13280,3
2766,Surveyor B,Public Golf Course D,2023-10-28 08:05:00,Female,26-35 years old,Lawyer,Member club,5,3,3,5,3,2-3 times per month,30555,1
2767,Surveyor A,Resort Golf Course E,2023-10-28 08:06:00,Female,56-65 years old,Civil Servant,Public course,2,4,3,1,1,Once a week,46421,6
2768,Surveyor B,Practice Course B,2023-10-28 08:07:00,Female,56-65 years old,Technical Professional,Public course,3,4,4,5,4,2-3 times per month,24936,3
2769,Surveyor D,Resort Golf Course E,2023-10-28 08:08:00,Female,18-25 years old,Business Executive,"Public course,Member club",1,4,1,4,4,2-3 times per month,32332,3
2770,Surveyor D,Practice Course A,2023-10-28 08:09:00,Male,26-35 years old,Civil Servant,Member club,3,5,1,3,1,Once a month,49588,3
2771,Surveyor E,Public Golf Course D,2023-10-28 08:10:00,Female,65+ years old,Engineer,Practice course,3,2,5,1,3,Once a month,32077,9
2772,Surveyor E,Member Golf Club C,2023-10-28 08:11:00,Female,46-55 years old,Civil Servant,"Public course,Member club,Resort course",3,2,2,3,3,2-3 times per month,12637,4
2773,Surveyor E,Public Golf Course D,2023-10-28 08:12:00,Male,36-45 years old,Sales Person,"Practice course,Member club",3,5,5,3,2,Once a quarter,29955,5
2774,Surveyor D,Resort Golf Course E,2023-10-28 08:13:00,Male,46-55 years old,Business Executive,Practice course,2,1,1,1,2,Once a month,25880,3
2775,Surveyor A,Public Golf Course D,2023-10-28 08:14:00,Female,65+ years old,Engineer,"Public course,Practice course",4,4,4,3,5,Once a quarter,21155,10
2776,Surveyor A,Resort Golf Course E,2023-10-28 08:15:00,Female,65+ years old,Engineer,"Practice course,Public course,Member club",5,4,2,3,2,Once a quarter,8060,1
2777,Surveyor A,Member Golf Club C,2023-10-28 08:16:00,Female,46-55 years old,Doctor,"Public course,Member club",3,1,4,2,4,Once a week,45278,4
2778,Surveyor C,Member Golf Club C,2023-10-28 08:17:00,Female,36-45 years old,Freelancer,"Resort course,Practice course,Public course",3,3,5,2,1,Several times per year,7950,1
2779,Surveyor E,Member Golf Club C,2023-10-28 08:18:00,Male,65+ years old,Retiree,Public course,3,3,3,1,3,Once a month,28802,7
2780,Surveyor A,Practice Course A,2023-10-28 08:19:00,Male,36-45 years old,Business Executive,Public course,4,2,4,1,5,Once a week,11063,7
2781,Surveyor E,Practice Course A,2023-10-28 08:20:00,Female,56-65 years old,Business Executive,"Practice course,Member club",1,5,5,3,2,2-3 times per month,19205,4
2782,Surveyor E,Resort Golf Course E,2023-10-28 08:21:00,Female,18-25 years old,Freelancer,"Practice course,Member club",1,2,5,5,5,Once a week,49690,5
2783,Surveyor C,Practice Course A,2023-10-28 08:22:00,Male,65+ years old,Civil Servant,Member club,2,3,5,1,1,Once a month,31507,10
2784,Surveyor D,Practice Course B,2023-10-28 08:23:00,Male,46-55 years old,Doctor,"Practice course,Resort course",1,1,3,3,1,Once a quarter,12661,7
2785,Surveyor A,Member Golf Club C,2023-10-28 08:24:00,Male,18-25 years old,Freelancer,"Practice course,Public course",3,2,3,5,5,Several times per year,41189,6
2786,Surveyor C,Member Golf Club C,2023-10-28 08:25:00,Female,56-65 years old,Doctor,"Practice course,Public course",3,4,3,2,5,Once a quarter,39758,4
2787,Surveyor D,Resort Golf Course E,2023-10-28 08:26:00,Female,65+ years old,Lawyer,Member club,3,4,2,1,5,Several times per year,18057,4
2788,Surveyor D,Practice Course A,2023-10-28 08:27:00,Male,26-35 years old,Freelancer,"Practice course,Member club",2,1,3,3,3,Once a week,25240,2
2789,Surveyor A,Member Golf Club C,2023-10-28 08:28:00,Male,46-55 years old,Technical Professional,"Resort course,Public course,Practice course",3,3,3,2,4,Once a quarter,39250,10
2790,Surveyor E,Public Golf Course D,2023-10-28 08:29:00,Female,36-45 years old,Teacher,Public course,1,4,3,4,2,Once a week,40313,2
2791,Surveyor B,Practice Course A,2023-10-28 08:30:00,Female,56-65 years old,Business Executive,"Member club,Resort course,Practice course",4,4,4,2,2,2-3 times per month,41988,4
2792,Surveyor E,Public Golf Course D,2023-10-28 08:31:00,Male,36-45 years old,Freelancer,Member club,4,5,3,3,2,Once a quarter,17491,5
2793,Surveyor E,Member Golf Club C,2023-10-28 08:32:00,Female,26-35 years old,Freelancer,"Resort course,Member club,Public course",5,2,2,5,5,Once a month,38410,4
2794,Surveyor B,Member Golf Club C,2023-10-28 08:33:00,Female,18-25 years old,Retiree,Resort course,1,3,5,4,5,2-3 times per month,18332,3
2795,Surveyor D,Public Golf Course D,2023-10-28 08:34:00,Male,18-25 years old,Freelancer,Member club,3,2,4,4,5,Once a month,25302,2
2796,Surveyor B,Member Golf Club C,2023-10-28 08:35:00,Female,36-45 years old,Teacher,Resort course,4,3,1,4,3,Several times per year,39354,4
2797,Surveyor B,Practice Course A,2023-10-28 08:36:00,Male,56-65 years old,Business Executive,"Practice course,Public course",1,4,3,1,3,Once a month,23793,5
2798,Surveyor C,Practice Course B,2023-10-28 08:37:00,Female,18-25 years old,Lawyer,Public course,4,5,5,3,3,Several times per year,11504,1
2799,Surveyor C,Practice Course B,2023-10-28 08:38:00,Female,18-25 years old,Sales Person,"Resort course,Member club",3,2,5,4,3,Several times per year,33425,1
2800,Surveyor C,Practice Course B,2023-10-28 08:39:00,Female,56-65 years old,Doctor,Public course,4,4,4,2,1,Once a week,34811,6
2801,Surveyor D,Member Golf Club C,2023-10-28 08:40:00,Male,65+ years old,Freelancer,"Public course,Resort course,Practice course",5,3,1,5,3,Several times per year,34746,5
2802,Surveyor B,Resort Golf Course E,2023-10-28 08:41:00,Female,56-65 years old,Freelancer,"Resort course,Practice course,Member club",5,2,2,3,3,Once a month,22225,4
2803,Surveyor A,Practice Course A,2023-10-28 08:42:00,Female,36-45 years old,Teacher,"Resort course,Public course",4,2,5,2,3,2-3 times per month,44696,1
2804,Surveyor B,Practice Course A,2023-10-28 08:43:00,Male,18-25 years old,Retiree,Practice course,1,4,5,1,2,Several times per year,35973,7
2805,Surveyor D,Member Golf Club C,2023-10-28 08:44:00,Male,56-65 years old,Retiree,Resort course,1,2,5,4,2,Several times per year,42355,4
2806,Surveyor C,Practice Course A,2023-10-28 08:45:00,Female,36-45 years old,Sales Person,Resort course,1,5,5,2,2,2-3 times per month,32196,3
2807,Surveyor D,Member Golf Club C,2023-10-28 08:46:00,Female,26-35 years old,Doctor,"Public course,Resort course",4,5,4,3,4,Several times per year,24290,7
2808,Surveyor C,Practice Course B,2023-10-28 08:47:00,Female,26-35 years old,Technical Professional,"Resort course,Member club",1,4,1,2,1,Several times per year,47954,2
2809,Surveyor D,Practice Course A,2023-10-28 08:48:00,Male,46-55 years old,Freelancer,"Resort course,Member club,Practice course",3,3,5,1,5,2-3 times per month,15124,10
2810,Surveyor A,Resort Golf Course E,2023-10-28 08:49:00,Female,56-65 years old,Lawyer,"Resort course,Practice course,Member club",5,4,2,5,3,Once a week,42824,1
2811,Surveyor C,Member Golf Club C,2023-10-28 08:50:00,Male,46-55 years old,Engineer,"Practice course,Resort course,Public course",3,5,2,4,2,Once a week,43750,4
2812,Surveyor C,Practice Course A,2023-10-28 08:51:00,Male,36-45 years old,Teacher,"Public course,Practice course",1,1,3,3,1,Once a month,7272,8
2813,Surveyor B,Public Golf Course D,2023-10-28 08:52:00,Female,18-25 years old,Business Executive,Resort course,3,1,5,4,3,Once a week,11141,6
2814,Surveyor D,Public Golf Course D,2023-10-28 08:53:00,Male,56-65 years old,Civil Servant,Public course,1,2,5,4,4,Once a month,29678,9
2815,Surveyor E,Resort Golf Course E,2023-10-28 08:54:00,Male,26-35 years old,Sales Person,Resort course,4,2,5,4,5,Several times per year,14161,1
2816,Surveyor E,Resort Golf Course E,2023-10-28 08:55:00,Male,46-55 years old,Lawyer,"Public course,Resort course",3,1,5,2,3,Once a quarter,6071,1
2817,Surveyor B,Public Golf Course D,2023-10-28 08:56:00,Male,26-35 years old,Business Executive,"Resort course,Public course",4,5,5,2,5,Once a quarter,22120,5
2818,Surveyor D,Member Golf Club C,2023-10-28 08:57:00,Male,26-35 years old,Business Executive,"Resort course,Member club,Practice course",4,2,2,5,3,Once a quarter,30941,6
2819,Surveyor A,Practice Course A,2023-10-28 08:58:00,Female,65+ years old,Business Executive,"Member club,Public course,Practice course",2,4,1,1,4,Once a quarter,44144,8
2820,Surveyor B,Public Golf Course D,2023-10-28 08:59:00,Male,26-35 years old,Teacher,"Public course,Resort course",1,4,1,3,1,Once a month,29133,3
2821,Surveyor C,Resort Golf Course E,2023-10-28 09:00:00,Male,26-35 years old,Business Executive,Resort course,5,5,3,2,5,Several times per year,8630,6
2822,Surveyor A,Practice Course A,2023-10-28 09:01:00,Female,56-65 years old,Lawyer,Resort course,1,2,2,4,5,Once a week,5227,3
2823,Surveyor D,Member Golf Club C,2023-10-28 09:02:00,Male,56-65 years old,Engineer,Public course,5,4,5,1,1,2-3 times per month,44433,8
2824,Surveyor C,Public Golf Course D,2023-10-28 09:03:00,Female,56-65 years old,Engineer,"Public course,Resort course",1,2,1,3,5,Once a quarter,19008,4
2825,Surveyor E,Resort Golf Course E,2023-10-28 09:04:00,Male,26-35 years old,Technical Professional,Practice course,4,2,4,3,2,Once a week,24954,2
2826,Surveyor D,Public Golf Course D,2023-10-28 09:05:00,Female,18-25 years old,Retiree,"Practice course,Public course",3,4,4,3,1,Once a quarter,45761,9
2827,Surveyor C,Member Golf Club C,2023-10-28 09:06:00,Male,26-35 years old,Retiree,"Practice course,Resort course",3,1,4,3,4,Once a month,19675,10
